domain,tld,keyword,keyword_volume_us,keyword_volume_au,cluster,cluster_total_volume_us,content_type,chemistry_topic,label_length,verification,notes
bondingcheatsheet.com,com,bonding cheat sheet,0,0,Chemical Bonding Cheat Sheet - Ionic & Covalent Guide,50,guide,bonding,17,rdap+whois,
periodictrendsquiz.com,com,periodic trends quiz,0,0,Periodic Trends Quiz - Free Chemistry Game,10,game,periodic table,18,rdap+whois,game/quiz term
polyatomicionsguide.com,com,polyatomic ions guide,0,0,"Polyatomic Ions Guide - List, Chart & Naming Rules",590,guide,chemical formulas/naming,19,rdap+whois,
apchemistrypractice.com,com,ap chemistry practice,0,0,AP Chemistry Practice Problems - By Unit & Topic,270,guide,general chemistry,19,rdap+whois,
atomicstructurequiz.com,com,atomic structure quiz,0,0,Atomic Structure Quiz - Free Chemistry Game,140,game,atomic structure,19,rdap+whois,game/quiz term
solutionsworksheets.com,com,solutions worksheets,0,0,Solutions Chemistry Worksheets - Free PDF Printables,80,guide,general chemistry,19,rdap+whois,
virtualchemistrylab.com,com,virtual chemistry lab,0,0,Virtual Chemistry Lab - Free Online Simulations,30,game,lab safety,19,rdap+whois,
whatischemistryguide.com,com,what is chemistry guide,0,0,What Is Chemistry? - A Simple Guide for Students,18100,guide,general chemistry,20,rdap+whois,
namingcompoundsguide.com,com,naming compounds guide,0,0,"Naming Compounds Guide - Ionic, Covalent & More",160,guide,chemical formulas/naming,20,rdap+whois,
functionalgroupsquiz.com,com,functional groups quiz,0,0,Functional Groups Quiz - Free Organic Chemistry Game,80,game,organic,20,rdap+whois,game/quiz term
acidsbasescheatsheet.com,com,acids bases cheat sheet,0,0,Acids & Bases Cheat Sheet - Quick Reference Guide,30,guide,acids & bases,20,rdap+whois,
reactiontypespractice.com,com,reaction types practice,0,0,Chemical Reaction Types Practice - Worksheets & Problems,290,guide,reaction types,21,rdap+whois,
chemicalreactionsquiz.com,com,chemical reactions quiz,0,0,Chemical Reactions Quiz - Free Online Game,280,game,reaction types,21,rdap+whois,game/quiz term
periodictablepractice.com,com,periodic table practice,0,0,Periodic Table Practice - Test Questions & Answers,70,guide,periodic table,21,rdap+whois,
generalchemistryguide.com,com,general chemistry guide,0,0,General Chemistry Guide - Everything Beginners Need,60,guide,general chemistry,21,rdap+whois,
chemistryappsstudents.com,com,chemistry apps students,0,0,Best Chemistry Apps for Students,10,blog,general chemistry,21,rdap+whois,
periodictableworksheet.com,com,periodic table worksheet,0,0,Periodic Table Worksheet - Free PDF Printables,380,guide,periodic table,22,rdap+whois,
moleconversionpractice.com,com,mole conversion practice,0,0,Mole Conversion Practice - Worksheet & Answers,160,guide,stoichiometry/moles,22,rdap+whois,
periodictablereference.com,com,periodic table reference,0,0,Periodic Table Reference - Free PDF Download,90,guide,periodic table,22,rdap+whois,
namingorganiccompounds.com,com,naming organic compounds,0,0,Naming Organic Compounds Game - Free Practice,10,game,organic,22,rdap+whois,
organicnomenclaturequiz.com,com,organic nomenclature quiz,0,0,Organic Nomenclature Quiz - IUPAC Naming Game,120,game,organic,23,rdap+whois,game/quiz term
unitconversionspractice.com,com,unit conversions practice,0,0,Unit Conversions Practice - Chemistry Quiz Game,120,game,general chemistry,23,rdap+whois,
periodictablecheatsheet.com,com,periodic table cheat sheet,0,0,Periodic Table Cheat Sheet - First 20 Elements Guide,110,guide,periodic table,23,rdap+whois,
stoichiometrycheatsheet.com,com,stoichiometry cheat sheet,0,0,Stoichiometry Cheat Sheet - Conversion Chart Guide,40,guide,stoichiometry/moles,23,rdap+whois,
chemistrygamesbeginners.com,com,chemistry games beginners,0,0,Simple Chemistry Games - Free for Beginners & Kids,40,game,general chemistry,23,rdap+whois,game/quiz term
organicchemistryquizzes.com,com,organic chemistry quizzes,0,0,Organic Chemistry Quiz - Functional Groups & More,40,game,organic,23,rdap+whois,game/quiz term
polyatomicionscheatsheet.com,com,polyatomic ions cheat sheet,0,0,Polyatomic Ions Cheat Sheet - List & Memorization Tips,29080,guide,chemical formulas/naming,24,rdap+whois,
organicchemistrypractice.com,com,organic chemistry practice,0,0,Organic Chemistry Practice Problems & Exercises,6140,guide,organic,24,rdap+whois,
chemicalformulaspractice.com,com,chemical formulas practice,0,0,Writing Chemical Formulas Practice - Free Game,270,game,chemical formulas/naming,24,rdap+whois,
generalchemistrypractice.com,com,general chemistry practice,0,0,General Chemistry Practice Problems - Free Game,170,game,general chemistry,24,rdap+whois,
namingacidsbasespractice.com,com,naming acids bases practice,0,0,Naming Acids & Bases Practice Worksheet - Free,10,guide,acids & bases,24,rdap+whois,
periodictableprojectideas.com,com,periodic table project ideas,0,0,Periodic Table Project Ideas for Students,210,blog,periodic table,25,rdap+whois,
functionalgroupsflashcards.com,com,functional groups flashcards,0,0,Functional Group Flashcards - Organic Chemistry Game,420,game,organic,26,rdap+whois,
periodictablegamesstudents.com,com,periodic table games students,0,0,Periodic Table Fun Activities & Games for Students,30,blog,periodic table,26,rdap+whois,game/quiz term
typeschemicalreactionsquiz.com,com,types chemical reactions quiz,0,0,Types of Chemical Reactions Quiz - Free Game,20,game,reaction types,26,rdap+whois,game/quiz term
chemistrygamesforhighschool.com,com,chemistry games for high school,0,0,Chemistry Games for High School - Free Online Learning,10860,game,general chemistry,27,rdap+whois,game/quiz term
chemistryconversionpractice.com,com,chemistry conversion practice,0,0,Chemistry Conversion Practice - Worksheets & Problems,200,guide,stoichiometry/moles,27,rdap+whois,
resonancestructurespractice.com,com,resonance structures practice,0,0,Resonance Structures Practice Problems - Organic Chem,200,guide,organic,27,rdap+whois,
organicnomenclaturepractice.com,com,organic nomenclature practice,0,0,Organic Nomenclature Practice - IUPAC Problems,120,game,organic,27,rdap+whois,
chemistryconversionspractice.com,com,chemistry conversions practice,0,0,Chemistry Conversions & Unit Conversion Practice,4240,game,general chemistry,28,rdap+whois,
typesofchemicalreactionsgame.com,com,types of chemical reactions game,0,0,Types of Chemical Reactions Game - Free Online,140,game,reaction types,28,rdap+whois,game/quiz term
typesofchemicalreactionsguide.com,com,types of chemical reactions guide,0,0,Types of Chemical Reactions Guide & Examples,78650,guide,reaction types,29,rdap+whois,
organicchemistryflashcardgame.com,com,organic chemistry flashcard game,0,0,Organic Chemistry Flashcards - Reactions Game,450,game,organic,29,rdap+whois,game/quiz term
physicalandchemicalchangesquiz.com,com,physical and chemical changes quiz,0,0,Physical & Chemical Changes Quiz - Free Game,210,game,reaction types,30,rdap+whois,game/quiz term
thermodynamicspracticeproblems.com,com,thermodynamics practice problems,0,0,Thermodynamics Practice Problems - Chemistry Game,120,game,general chemistry,30,rdap+whois,
