domain,tld,keyword,keyword_volume_us,keyword_volume_au,cluster,cluster_total_volume_us,content_type,chemistry_topic,label_length,verification,notes,final_status
printablechemistrygames.com,com,printable chemistry games,10,10,Chemistry Games Ideas - Printable Classroom Activities,50,blog,general chemistry,23,rdap+whois,game/quiz term,AVAILABLE
organicchemistrylearninggames.com,com,organic chemistry learning games,10,0,Organic Chemistry Games Online - Naming & Learning,40,game,organic,29,rdap+whois,game/quiz term,AVAILABLE
basicchemistrygames.com,com,basic chemistry games,10,10,Simple Chemistry Games - Free for Beginners & Kids,40,game,general chemistry,19,rdap+whois,game/quiz term,AVAILABLE
simplechemistrygames.com,com,simple chemistry games,10,10,Simple Chemistry Games - Free for Beginners & Kids,40,game,general chemistry,20,rdap+whois,game/quiz term,AVAILABLE
irquizorganicchemistry.com,com,ir quiz organic chemistry,10,0,Organic Chemistry Quiz - Functional Groups & More,40,game,organic,22,rdap+whois,game/quiz term,AVAILABLE
chemistryhydrocarbonsquiz.com,com,chemistry hydrocarbons quiz,10,10,Organic Chemistry Quiz - Functional Groups & More,40,game,organic,25,rdap+whois,game/quiz term,AVAILABLE
periodictablegameideas.com,com,periodic table game ideas,10,10,Periodic Table Game Ideas for the Classroom,40,blog,periodic table,22,rdap+whois,game/quiz term,AVAILABLE
apchemistryreviewgames.com,com,ap chemistry review games,10,0,Chemistry Review Games Online - Free for Finals,30,game,general chemistry,22,rdap+whois,game/quiz term,AVAILABLE
makechemistryflashcards.com,com,make chemistry flashcards,10,0,How to Make Chemistry Flashcards - Study Guide,30,guide,organic,23,rdap+whois,,AVAILABLE
onlinesciencelabsimulations.com,com,online science lab simulations,10,10,Virtual Chemistry Lab - Free Online Simulations,30,game,lab safety,27,rdap+whois,,AVAILABLE
bestchemistrygames.com,com,best chemistry games,10,10,Best Chemistry Games - Our Top Picks,20,blog,general chemistry,18,rdap+whois,game/quiz term,AVAILABLE
chemistrygamesreddit.com,com,chemistry games reddit,10,10,Best Chemistry Games - Our Top Picks,20,blog,general chemistry,20,rdap+whois,game/quiz term,AVAILABLE
periodictableprojectpdf.com,com,periodic table project pdf,10,10,Periodic Table Project Ideas - PDF & 3D Projects,20,blog,periodic table,23,rdap+whois,,AVAILABLE
namingorganiccompoundsgame.com,com,naming organic compounds game,10,10,Naming Organic Compounds Game - Free Practice,10,game,organic,26,rdap+whois,game/quiz term,AVAILABLE
chemistryappsforstudents.com,com,chemistry apps for students,10,10,Best Chemistry Apps for Students,10,blog,general chemistry,24,rdap+whois,,AVAILABLE
periodictrendsquizwithanswers.com,com,periodic trends quiz with answers,10,0,Periodic Trends Quiz - Free Chemistry Game,10,game,periodic table,29,rdap+whois,game/quiz term,AVAILABLE
periodictableguide.com,com,periodic table guide,0,0,Periodic Table Guide & Reference - Free Chemistry Cheat Sheet,4111020,guide,periodic table,18,rdap+whois,,REGISTERED
typesofchemicalreactionsguide.com,com,types of chemical reactions guide,0,0,Types of Chemical Reactions Guide & Examples,78650,guide,reaction types,29,rdap+whois,,AVAILABLE
polyatomicionscheatsheet.com,com,polyatomic ions cheat sheet,0,0,Polyatomic Ions Cheat Sheet - List & Memorization Tips,29080,guide,chemical formulas/naming,24,rdap+whois,,AVAILABLE
whatischemistryguide.com,com,what is chemistry guide,0,0,What Is Chemistry? - A Simple Guide for Students,18100,guide,general chemistry,20,rdap+whois,,AVAILABLE
bondingpractice.com,com,bonding practice,0,0,Bonding Practice Game - Lewis Structures & Chemical Bonds,12840,game,bonding,15,rdap+whois,,AVAILABLE
chemistrygamesforhighschool.com,com,chemistry games for high school,0,0,Chemistry Games for High School - Free Online Learning,10860,game,general chemistry,27,rdap+whois,game/quiz term,AVAILABLE
organicchemistrypractice.com,com,organic chemistry practice,0,0,Organic Chemistry Practice Problems & Exercises,6140,guide,organic,24,rdap+whois,,AVAILABLE
chemistryconversionspractice.com,com,chemistry conversions practice,0,0,Chemistry Conversions & Unit Conversion Practice,4240,game,general chemistry,28,rdap+whois,,AVAILABLE
acidbasepractice.com,com,acid base practice,0,0,Acids and Bases Practice Problems & Solutions Guide,2400,guide,acids & bases,16,rdap+whois,,AVAILABLE
organicchemistryguide.com,com,organic chemistry guide,0,0,Organic Chemistry Guide - What Is Organic Chemistry?,1250,guide,organic,21,rdap+whois,,REGISTERED
labsafetyquiz.com,com,lab safety quiz,0,0,Lab Safety Quiz - Free Online Chemistry Lab Safety Game,620,game,lab safety,13,rdap+whois,short label; game/quiz term,AVAILABLE
polyatomicionsguide.com,com,polyatomic ions guide,0,0,"Polyatomic Ions Guide - List, Chart & Naming Rules",590,guide,chemical formulas/naming,19,rdap+whois,,AVAILABLE
labequipmentquiz.com,com,lab equipment quiz,0,0,Lab Equipment Quiz - Free Chemistry Quiz Game,560,game,lab safety,16,rdap+whois,game/quiz term,AVAILABLE
organicchemistryflashcardgame.com,com,organic chemistry flashcard game,0,0,Organic Chemistry Flashcards - Reactions Game,450,game,organic,29,rdap+whois,game/quiz term,AVAILABLE
functionalgroupsflashcards.com,com,functional groups flashcards,0,0,Functional Group Flashcards - Organic Chemistry Game,420,game,organic,26,rdap+whois,,AVAILABLE
periodictableworksheet.com,com,periodic table worksheet,0,0,Periodic Table Worksheet - Free PDF Printables,380,guide,periodic table,22,rdap+whois,,AVAILABLE
acidsandbasesquiz.com,com,acids and bases quiz,0,0,Acids and Bases Quiz - Free Chemistry Quiz Game,340,game,acids & bases,17,rdap+whois,game/quiz term,AVAILABLE
acidsandbasesgame.com,com,acids and bases game,0,0,Acids and Bases Game - Titration Simulation Online,320,game,acids & bases,17,rdap+whois,game/quiz term,AVAILABLE
reactiontypespractice.com,com,reaction types practice,0,0,Chemical Reaction Types Practice - Worksheets & Problems,290,guide,reaction types,21,rdap+whois,,AVAILABLE
chemicalreactionsquiz.com,com,chemical reactions quiz,0,0,Chemical Reactions Quiz - Free Online Game,280,game,reaction types,21,rdap+whois,game/quiz term,AVAILABLE
chemicalformulaspractice.com,com,chemical formulas practice,0,0,Writing Chemical Formulas Practice - Free Game,270,game,chemical formulas/naming,24,rdap+whois,,AVAILABLE
apchemistrypractice.com,com,ap chemistry practice,0,0,AP Chemistry Practice Problems - By Unit & Topic,270,guide,general chemistry,19,rdap+whois,,AVAILABLE
bondingguide.com,com,bonding guide,0,0,"Chemical Bonding Guide - Covalent, Ionic & More",260,guide,bonding,12,rdap+whois,short label,AVAILABLE
reactiontypesgame.com,com,reaction types game,0,0,Types of Chemical Reactions Game - Virtual Lab,260,game,reaction types,17,rdap+whois,game/quiz term,AVAILABLE
chemistryquizzes.com,com,chemistry quizzes,0,0,(brand-level seed),0,brand,brand,16,rdap+whois,brand-level seed; game/quiz term,REGISTERED
physicalandchemicalchangesquiz.com,com,physical and chemical changes quiz,0,0,Physical & Chemical Changes Quiz - Free Game,210,game,reaction types,30,rdap+whois,game/quiz term,AVAILABLE
periodictableprojectideas.com,com,periodic table project ideas,0,0,Periodic Table Project Ideas for Students,210,blog,periodic table,25,rdap+whois,,AVAILABLE
chemistryconversionpractice.com,com,chemistry conversion practice,0,0,Chemistry Conversion Practice - Worksheets & Problems,200,guide,stoichiometry/moles,27,rdap+whois,,AVAILABLE
resonancestructurespractice.com,com,resonance structures practice,0,0,Resonance Structures Practice Problems - Organic Chem,200,guide,organic,27,rdap+whois,,AVAILABLE
cheatsheet.com,com,cheat sheet,0,0,Chemistry Cheat Sheet - Free PDF Download,180,guide,general chemistry,10,rdap+whois,short label,REGISTERED
generalchemistrypractice.com,com,general chemistry practice,0,0,General Chemistry Practice Problems - Free Game,170,game,general chemistry,24,rdap+whois,,AVAILABLE
namingcompoundsguide.com,com,naming compounds guide,0,0,"Naming Compounds Guide - Ionic, Covalent & More",160,guide,chemical formulas/naming,20,rdap+whois,,AVAILABLE
moleconversionpractice.com,com,mole conversion practice,0,0,Mole Conversion Practice - Worksheet & Answers,160,guide,stoichiometry/moles,22,rdap+whois,,AVAILABLE
typesofchemicalreactionsgame.com,com,types of chemical reactions game,0,0,Types of Chemical Reactions Game - Free Online,140,game,reaction types,28,rdap+whois,game/quiz term,AVAILABLE
atomicstructurequiz.com,com,atomic structure quiz,0,0,Atomic Structure Quiz - Free Chemistry Game,140,game,atomic structure,19,rdap+whois,game/quiz term,AVAILABLE
organicnomenclaturequiz.com,com,organic nomenclature quiz,0,0,Organic Nomenclature Quiz - IUPAC Naming Game,120,game,organic,23,rdap+whois,game/quiz term,AVAILABLE
unitconversionspractice.com,com,unit conversions practice,0,0,Unit Conversions Practice - Chemistry Quiz Game,120,game,general chemistry,23,rdap+whois,,AVAILABLE
thermodynamicspracticeproblems.com,com,thermodynamics practice problems,0,0,Thermodynamics Practice Problems - Chemistry Game,120,game,general chemistry,30,rdap+whois,,AVAILABLE
organicnomenclaturepractice.com,com,organic nomenclature practice,0,0,Organic Nomenclature Practice - IUPAC Problems,120,game,organic,27,rdap+whois,,AVAILABLE
organiccheatsheet.com,com,organic cheat sheet,0,0,Organic Chemistry Cheat Sheet - Free PDF Reagents,120,guide,organic,17,rdap+whois,,AVAILABLE
periodictablecheatsheet.com,com,periodic table cheat sheet,0,0,Periodic Table Cheat Sheet - First 20 Elements Guide,110,guide,periodic table,23,rdap+whois,,AVAILABLE
molesquiz.com,com,moles quiz,0,0,Moles Quiz - Free Online Chemistry Practice Game,100,game,stoichiometry/moles,9,rdap+whois,short label; game/quiz term,AVAILABLE
solutionsquiz.com,com,solutions quiz,0,0,Solutions Quiz - Free Online Chemistry Practice Game,100,game,general chemistry,13,rdap+whois,short label; game/quiz term,AVAILABLE
chemistrypractice.com,com,chemistry practice,0,0,(brand-level seed),0,brand,brand,17,rdap+whois,brand-level seed,REGISTERED
periodictablereference.com,com,periodic table reference,0,0,Periodic Table Reference - Free PDF Download,90,guide,periodic table,22,rdap+whois,,AVAILABLE
functionalgroupsquiz.com,com,functional groups quiz,0,0,Functional Groups Quiz - Free Organic Chemistry Game,80,game,organic,20,rdap+whois,game/quiz term,AVAILABLE
solutionsworksheets.com,com,solutions worksheets,0,0,Solutions Chemistry Worksheets - Free PDF Printables,80,guide,general chemistry,19,rdap+whois,,AVAILABLE
acidsbasesgame.com,com,acids bases game,0,0,Acids & Bases Game - Titration Curve Simulation,70,game,acids & bases,14,rdap+whois,short label; game/quiz term,AVAILABLE
periodictablepractice.com,com,periodic table practice,0,0,Periodic Table Practice - Test Questions & Answers,70,guide,periodic table,21,rdap+whois,,AVAILABLE
matterquiz.com,com,matter quiz,0,0,Matter Quiz - Free Online Chemistry Game,60,game,general chemistry,10,rdap+whois,short label; game/quiz term,AVAILABLE
generalchemistryguide.com,com,general chemistry guide,0,0,General Chemistry Guide - Everything Beginners Need,60,guide,general chemistry,21,rdap+whois,,AVAILABLE
bondingcheatsheet.com,com,bonding cheat sheet,0,0,Chemical Bonding Cheat Sheet - Ionic & Covalent Guide,50,guide,bonding,17,rdap+whois,,AVAILABLE
ionsquiz.com,com,ions quiz,0,0,Ions Quiz - Free Online Chemistry Game,50,game,chemical formulas/naming,8,rdap+whois,short label; game/quiz term,AVAILABLE
bondinggame.com,com,bonding game,0,0,Chemistry Bonding Game - Free Online Practice,40,game,bonding,11,rdap+whois,short label; game/quiz term,REGISTERED
halflifepractice.com,com,half life practice,0,0,Half-Life Chemistry Practice Problems - Free Game,40,game,general chemistry,16,rdap+whois,,AVAILABLE
gaslawspractice.com,com,gas laws practice,0,0,Gas Laws Practice Problems - Free Chemistry Game,40,game,general chemistry,15,rdap+whois,,AVAILABLE
stoichiometrycheatsheet.com,com,stoichiometry cheat sheet,0,0,Stoichiometry Cheat Sheet - Conversion Chart Guide,40,guide,stoichiometry/moles,23,rdap+whois,,AVAILABLE
chemistrygamesbeginners.com,com,chemistry games beginners,0,0,Simple Chemistry Games - Free for Beginners & Kids,40,game,general chemistry,23,rdap+whois,game/quiz term,AVAILABLE
organicchemistryquizzes.com,com,organic chemistry quizzes,0,0,Organic Chemistry Quiz - Functional Groups & More,40,game,organic,23,rdap+whois,game/quiz term,AVAILABLE
acidsbasescheatsheet.com,com,acids bases cheat sheet,0,0,Acids & Bases Cheat Sheet - Quick Reference Guide,30,guide,acids & bases,20,rdap+whois,,AVAILABLE
periodictablegamesstudents.com,com,periodic table games students,0,0,Periodic Table Fun Activities & Games for Students,30,blog,periodic table,26,rdap+whois,game/quiz term,AVAILABLE
virtualchemistrylab.com,com,virtual chemistry lab,0,0,Virtual Chemistry Lab - Free Online Simulations,30,game,lab safety,19,rdap+whois,,AVAILABLE
typeschemicalreactionsquiz.com,com,types chemical reactions quiz,0,0,Types of Chemical Reactions Quiz - Free Game,20,game,reaction types,26,rdap+whois,game/quiz term,AVAILABLE
periodictableproject.com,com,periodic table project,0,0,Periodic Table Project Ideas - PDF & 3D Projects,20,blog,periodic table,20,rdap+whois,,REGISTERED
namingacidsbasespractice.com,com,naming acids bases practice,0,0,Naming Acids & Bases Practice Worksheet - Free,10,guide,acids & bases,24,rdap+whois,,AVAILABLE
namingorganiccompounds.com,com,naming organic compounds,0,0,Naming Organic Compounds Game - Free Practice,10,game,organic,22,rdap+whois,,AVAILABLE
chemistryappsstudents.com,com,chemistry apps students,0,0,Best Chemistry Apps for Students,10,blog,general chemistry,21,rdap+whois,,AVAILABLE
periodictrendsquiz.com,com,periodic trends quiz,0,0,Periodic Trends Quiz - Free Chemistry Game,10,game,periodic table,18,rdap+whois,game/quiz term,AVAILABLE
chemgames.com,com,chem games,0,0,(brand-level seed),0,brand,brand,9,rdap+whois,brand-level seed; short label; game/quiz term,REGISTERED
chemistrygame.com,com,chemistry game,0,0,(brand-level seed),0,brand,brand,13,rdap+whois,brand-level seed; short label; game/quiz term,REGISTERED
periodictablegames.com,com,periodic table games,0,0,(brand-level seed),0,brand,brand,18,rdap+whois,brand-level seed; game/quiz term,REGISTERED
